,apt,street,city,state,zipcode,hotrent,amenities,popularity,hottele,hoturl,soundscore,aptrent,apttele,apturl,Population,Density,TotalWages,Wealthy,HouseOfUnits
3982,Berendo Apartments, 1217 N Berendo St, Los Angeles, CA,90029,,,,,,69, Call for Rent, 844-863-6287, https://www.apartments.com/berendo-apartments-los-angeles-ca/207h45b/,38617.0,28394.8529412,401892441.0,10407.137815,14723.0
3983,William Penn Apartment Homes, 2208 W 8th St, Los Angeles, CA,90057,,,,,,67, $1095 - 1820, 844-478-3459, https://www.apartments.com/william-penn-apartment-homes-los-angeles-ca/q9x96lw/,44998.0,50559.5505618,278373802.0,6186.3594382,17247.0
3984,Morgan Lofts, 3324-3330 Wilshire Blvd, Los Angeles, CA,90010,,,,,,65, $2100 - 4600, 844-410-0512, https://www.apartments.com/morgan-lofts-los-angeles-ca/vctn9lf/,3800.0,8260.86956522,122651252.0,32276.6452632,2382.0
3985,The CitiZen at Virgil Village, 4150 Marathon St, Los Angeles, CA,90029,,,,,,64, $2650 - 3250, 844-207-5984, https://www.apartments.com/the-citizen-at-virgil-village-los-angeles-ca/58qz3fq/,38617.0,28394.8529412,401892441.0,10407.137815,14723.0
3986,Regina Apartments, 420 S Westlake Ave, Los Angeles, CA,90057,,,,,,69, $1275 - 1675, 844-653-3050, https://www.apartments.com/regina-apartments-los-angeles-ca/xtldn6m/,44998.0,50559.5505618,278373802.0,6186.3594382,17247.0
3987,USC STUDENT HOUSING AVALON APARTMENT HOMES, 1248 W Adams Blvd, Los Angeles, CA,90007,,,,,,69, $3195 - 4495, 844-479-9706, https://www.apartments.com/usc-student-housing-avalon-apartment-homes-los-angeles-ca/el4001n/,40920.0,16566.8016194,262370773.0,6411.79797165,12762.0
3988,Crystal House Apartments, 1630 W 3rd St, Los Angeles, CA,90017,,,,,,69, $1450, 844-206-9080, https://www.apartments.com/crystal-house-apartments-los-angeles-ca/nxep77m/,23768.0,32558.9041096,229419093.0,9652.43575395,10610.0
3989,Towers at Hollywood Hills, 1800 N Normandie Ave, Los Feliz, CA,90027,,,,,,70, $1795 - 2875, 844-278-8331, https://www.apartments.com/towers-at-hollywood-hills-los-feliz-ca/mmg6dkj/,45151.0,5466.22276029,982450409.0,21759.2170495,23390.0
3990,USC STUDENT HOUSING 37TH PLACE, 1216-1222 W 37th Pl, Los Angeles, CA,90007,,,,,,72, $1420 - 3675, 844-260-0629, https://www.apartments.com/usc-student-housing-37th-place-los-angeles-ca/cclzx2g/,40920.0,16566.8016194,262370773.0,6411.79797165,12762.0
3991,USC STUDENT HOUSING PORTLAND AT GREEK ROW, 2611 Portland St, Los Angeles, CA,90007,,,,,,67, $1650 - 2895, 855-235-9880, https://www.apartments.com/usc-student-housing-portland-at-greek-row-los-angeles-ca/172n954/,40920.0,16566.8016194,262370773.0,6411.79797165,12762.0
3992,USC STUDENT HOUSING TROJAN VILLAGE, 1125-1137 W 36th Pl, Los Angeles, CA,90007,,,,,,69, $1485 - 2095, 844-206-9082, https://www.apartments.com/usc-student-housing-trojan-village-los-angeles-ca/60rh6ev/,40920.0,16566.8016194,262370773.0,6411.79797165,12762.0
3993,USC WEST STUDENT HOUSING, 1241 W 37th Pl, Los Angeles, CA,90007,,,,,,72, $6100 - 6200, 844-267-0120, https://www.apartments.com/usc-west-student-housing-los-angeles-ca/39d0cqf/,40920.0,16566.8016194,262370773.0,6411.79797165,12762.0
3994,USC STUDENT HOUSING CAMPUS VIEW, 1168 W 36th Pl, Los Angeles, CA,90007,,,,,,70, $4395 - 4650, 323-746-2376, https://www.apartments.com/usc-student-housing-campus-view-los-angeles-ca/hrfe4n0/,40920.0,16566.8016194,262370773.0,6411.79797165,12762.0
3995,1516 Micheltorena St, 1516 Micheltorena St, Los Angeles, CA,90026,,,,,,72, $2495, 844-245-2423, https://www.apartments.com/1516-micheltorena-st-los-angeles-ca/lmd6ked/,67869.0,16044.6808511,954653353.0,14066.1178594,26686.0
3996,Tuscani Villas, 369 Columbia Ave, Los Angeles, CA,90017,,,,,,69, $1350 - 1995, 844-639-1618, https://www.apartments.com/tuscani-villas-los-angeles-ca/md57s7l/,23768.0,32558.9041096,229419093.0,9652.43575395,10610.0
3997,Los Feliz Club Apartments, 1800 N New Hampshire Ave, Los Angeles, CA,90027,,,,,,68, $1845 - 2795, 866-269-3907, https://www.apartments.com/los-feliz-club-apartments-los-angeles-ca/w1wp1vl/,45151.0,5466.22276029,982450409.0,21759.2170495,23390.0
3998,Maxfield Lofts, 819 Santee St, Los Angeles, CA,90014,,,,,,65, $2195 - 2920, 213-267-8676, https://www.apartments.com/maxfield-lofts-los-angeles-ca/qtmfpcz/,7005.0,25017.8571429,91984035.0,13131.1970021,4990.0
3999,401 S Grand View St, 401 S Grand View St, Los Angeles, CA,90057,,,,,,69, $2450 - 2800, 866-942-1925, https://www.apartments.com/401-s-grand-view-st-los-angeles-ca/lx1rqbg/,44998.0,50559.5505618,278373802.0,6186.3594382,17247.0
4000,Valley Street Apartments, 2300 Valley St, Los Angeles, CA,90057,,,,,,70, $2350, 657-262-3522, https://www.apartments.com/valley-street-apartments-los-angeles-ca/3s1l4ee/,44998.0,50559.5505618,278373802.0,6186.3594382,17247.0
4001,Riverglen Apartments, 2750-2850 Riverside Dr, Los Angeles, CA,90039,,,,,,62, $1650 - 2250, 855-777-4705, https://www.apartments.com/riverglen-apartments-los-angeles-ca/ek0e7jq/,28514.0,7563.39522546,645960187.0,22654.1413692,12127.0
4002,Parkview Terrace, 300 Avenue 37, Los Angeles, CA,90065,,,,,,67, $1950, 844-891-1325, https://www.apartments.com/parkview-terrace-los-angeles-ca/vj3fs8g/,45527.0,8622.53787879,749994392.0,16473.6176774,15288.0
4003,Commodore Regency Apartments, 1203-1209 W 7th St, Los Angeles, CA,90017,,,,,,65, $1100 - 1250, 844-843-8980, https://www.apartments.com/commodore-regency-apartments-los-angeles-ca/6n3zcpr/,23768.0,32558.9041096,229419093.0,9652.43575395,10610.0
4004,City View Apartments, 1207 Miramar St, Los Angeles, CA,90026,,,,,,66, $1275 - 1579, 844-234-9891, https://www.apartments.com/city-view-apartments-los-angeles-ca/90z9mm5/,67869.0,16044.6808511,954653353.0,14066.1178594,26686.0
4005,The Langham, 715 S Normandie Ave, Los Angeles, CA,90005,,,,,,67, $1050 - 2250, 213-814-1107, https://www.apartments.com/the-langham-los-angeles-ca/n7ssnbm/,37681.0,34889.8148148,369162475.0,9797.04559327,16345.0
4006,The Mint, 1136 W 6th St, Los Angeles, CA,90017,,,,,,66, $2095 - 2895, 844-524-3279, https://www.apartments.com/the-mint-los-angeles-ca/xc83fkq/,23768.0,32558.9041096,229419093.0,9652.43575395,10610.0
4007,Huntington Apartments, 748 S Main St, Los Angeles, CA,90014,,,,,,65, $650 - 975, 844-523-9928, https://www.apartments.com/huntington-apartments-los-angeles-ca/sb99cw7/,7005.0,25017.8571429,91984035.0,13131.1970021,4990.0
4008,Sheraton Town House, 639 S Commonwealth Ave, Los Angeles, CA,90005,,,,,,64, $591 - 1307, 844-209-5209, https://www.apartments.com/sheraton-town-house-los-angeles-ca/jc512n4/,37681.0,34889.8148148,369162475.0,9797.04559327,16345.0
4009,Westmoreland Avenue Apartments, 500 S Westmoreland Ave, Los Angeles, CA,90020,,,,,,64, $1325, 844-377-9294, https://www.apartments.com/westmoreland-avenue-apartments-los-angeles-ca/bmpb5bc/,38967.0,34484.0707965,526453188.0,13510.2314266,17900.0
4010,435 S Mariposa Ave, 435 S Mariposa Ave, Los Angeles, CA,90020,,,,,,67, Call for Rent, 844-219-4312, https://www.apartments.com/435-s-mariposa-ave-los-angeles-ca/e89pd9p/,38967.0,34484.0707965,526453188.0,13510.2314266,17900.0
4011,Lexington at Fedora, 844-854 Fedora St, Los Angeles, CA,90005,,,,,,69, $2600 - 2750, 949-274-7827, https://www.apartments.com/lexington-at-fedora-los-angeles-ca/5j03g5p/,37681.0,34889.8148148,369162475.0,9797.04559327,16345.0
4012,The Rayfield Apartments, 3441 W 2nd St, Los Angeles, CA,90004,,,,,,63, $800 - 1400, 844-223-7766, https://www.apartments.com/the-rayfield-apartments-los-angeles-ca/tv4x62c/,62180.0,20386.8852459,891085777.0,14330.7458508,24278.0
4013,Ellenwood Apartments, 4609 Ellenwood Dr, Los Angeles, CA,90041,,,,,,71, $2000, 844-415-0004, https://www.apartments.com/ellenwood-apartments-los-angeles-ca/v13hbcd/,27425.0,7596.95290859,541197806.0,19733.7395077,9998.0
4014,Edgemont & Banbury Manor Apartments, 1716 Edgemont St, Los Angeles, CA,90027,,,,,,70, $1300 - 1600, 844-508-6068, https://www.apartments.com/edgemont-banbury-manor-apartments-los-angeles-ca/p54j3st/,45151.0,5466.22276029,982450409.0,21759.2170495,23390.0
4015,Premiere Towers, 621 S Spring St, Los Angeles, CA,90014,,,,,,63, $400 - 3000, 844-562-3969, https://www.apartments.com/premiere-towers-los-angeles-ca/nespdgm/,7005.0,25017.8571429,91984035.0,13131.1970021,4990.0
4016,739 Garland Ave, 739 Garland Ave, Los Angeles, CA,90017,,,,,,65, $750, 844-786-3518, https://www.apartments.com/739-garland-ave-los-angeles-ca/7zph9bz/,23768.0,32558.9041096,229419093.0,9652.43575395,10610.0
4017,University Gateway, 3335 S Figueroa St, Los Angeles, CA,90007,,,,,,63, $1712 - 2190, 844-887-8668, https://www.apartments.com/university-gateway-los-angeles-ca/xlqd30n/,40920.0,16566.8016194,262370773.0,6411.79797165,12762.0
4018,Echo 1030 Lofts, 1030 N Alvarado Blvd, Los Angeles, CA,90026,,,,,,68, $2900, 424-325-7084, https://www.apartments.com/echo-1030-lofts-los-angeles-ca/dv3yjpk/,67869.0,16044.6808511,954653353.0,14066.1178594,26686.0
4019,Lacy Studio Townhouse Lofts, 2684 Lacy St, Los Angeles, CA,90031,,,,,,67, $2375 - 2900, 424-325-7081, https://www.apartments.com/lacy-studio-townhouse-lofts-los-angeles-ca/qnc2g0y/,39316.0,11395.942029,396598065.0,10087.4469682,11903.0
4020,Victory on 30th - Leasing for Spring and Fall, 1275 W 30th St, Los Angeles, CA,90007,,,,,,69, $1200 - 4895, 818-330-3486, https://www.apartments.com/victory-on-30th-leasing-for-spring-and-fall-los-angeles-ca/9szypb4/,40920.0,16566.8016194,262370773.0,6411.79797165,12762.0
4021,2849 Waverly Dr, 2849 Waverly Dr, Los Angeles, CA,90039,,,,,,65, $2595, 844-629-5649, https://www.apartments.com/2849-waverly-dr-los-angeles-ca/wfqf7tk/,28514.0,7563.39522546,645960187.0,22654.1413692,12127.0
4022,President Apartments, 669 S Union Ave, Los Angeles, CA,90017,,,,,,64, $1325, 844-598-5485, https://www.apartments.com/president-apartments-los-angeles-ca/jc6pk54/,23768.0,32558.9041096,229419093.0,9652.43575395,10610.0
4023,Alta Vista-Waitlist Closed, 5051 E 3rd St, Los Angeles, CA,90022,,,,,,66, Call for Rent, 844-628-4518, https://www.apartments.com/alta-vista-waitlist-closed-los-angeles-ca/myh7qdl/,67179.0,15337.6712329,622984671.0,9273.50319296,17713.0
4024,Casa De Oro 4648 La Mirada, 4648 La Mirada Ave, Los Angeles, CA,90029,,,,,,69, $2095 - 2145, 866-930-1861, https://www.apartments.com/casa-de-oro-4648-la-mirada-los-angeles-ca/kp3pcdc/,38617.0,28394.8529412,401892441.0,10407.137815,14723.0
4025,Binford Lofts, 837-843 Traction Ave, Los Angeles, CA,90013,,,,,,72, $2220 - 3330, 844-865-1702, https://www.apartments.com/binford-lofts-los-angeles-ca/dz62dxl/,11772.0,17570.1492537,115494378.0,9810.9393476,7516.0
4026,WM Lofts, 201 N Westmoreland Ave, Los Angeles, CA,90004,,,,,,65, $2200 - 4800, 844-220-2467, https://www.apartments.com/wm-lofts-los-angeles-ca/fwcyh2s/,62180.0,20386.8852459,891085777.0,14330.7458508,24278.0
4027,Tres Lomas, 4343 Toland Way, Los Angeles, CA,90041,,,,,,73, Call for Rent, 844-313-8817, https://www.apartments.com/tres-lomas-los-angeles-ca/zqlzytw/,27425.0,7596.95290859,541197806.0,19733.7395077,9998.0
4028,2050 Dracena Dr, 2050 Dracena Dr, Los Angeles, CA,90027,,,,,,72, $1750, 844-318-3761, https://www.apartments.com/2050-dracena-dr-los-angeles-ca/wgcheyl/,45151.0,5466.22276029,982450409.0,21759.2170495,23390.0
4029,The Newberry Lofts / Artist Loft Apartments, 900 E 1st St, Los Angeles, CA,90012,,,,,,69, Call for Rent, 844-225-2628, https://www.apartments.com/the-newberry-lofts-artist-loft-apartments-los-angeles-ca/h0pn5s1/,31103.0,9629.41176471,288859252.0,9287.1829727,11370.0
4030,4124 Eagle Rock Blvd, 4124 Eagle Rock Blvd, Los Angeles, CA,90065,,,,,,69, $1595, 818-296-0877, https://www.apartments.com/4124-eagle-rock-blvd-los-angeles-ca/cb027kd/,45527.0,8622.53787879,749994392.0,16473.6176774,15288.0
4031,122 N Ave 23, 122 N Ave 23, Los Angeles, CA,90031,,,,,,64, $2950, 626-377-9520, https://www.apartments.com/122-n-ave-23-los-angeles-ca/gn6qghx/,39316.0,11395.942029,396598065.0,10087.4469682,11903.0
4032,4440 Ambrose Ave Unit 211, 4440 Ambrose Ave Unit 211, Los Angeles, CA,90027,,,,,,72, $1895, 424-653-1255, https://www.apartments.com/4440-ambrose-ave-los-angeles-ca-unit-211/5h30l8n/,45151.0,5466.22276029,982450409.0,21759.2170495,23390.0
4033,3733 Rolle St, 3733 Rolle St, Los Angeles, CA,90031,,,,,,80, $2200, 818-462-8913, https://www.apartments.com/3733-rolle-st-los-angeles-ca/mmz1zml/,39316.0,11395.942029,396598065.0,10087.4469682,11903.0
4034,3733 Rolle St,, Los Angeles, CA,90031,,,,,,80, $1300, 213-425-3515, https://www.apartments.com/3733-rolle-st-los-angeles-ca/nz7g45m/,39316.0,11395.942029,396598065.0,10087.4469682,11903.0
4035,2464 Lyric Ave Unit B, 2464 Lyric Ave Unit B, Los Angeles, CA,90027,,,,,,74, $1700, 213-378-2069, https://www.apartments.com/2464-lyric-ave-los-angeles-ca-unit-b/vtc0b0e/,45151.0,5466.22276029,982450409.0,21759.2170495,23390.0
4036,2809 Francis Ave Unit 0, 2809 Francis Ave Unit 0, Los Angeles, CA,90005,,,,,,66, $1625, 213-378-2198, https://www.apartments.com/2809-francis-ave-los-angeles-ca-unit-0/7ryywqx/,37681.0,34889.8148148,369162475.0,9797.04559327,16345.0
4037,4226 S Figueroa St Unit Apt, 4226 S Figueroa St Unit Apt, Los Angeles, CA,90037,,,,,,56, $1189, 424-384-2768, https://www.apartments.com/4226-s-figueroa-st-los-angeles-ca-unit-apt/s8tnme5/,62276.0,21928.1690141,428398470.0,6879.02996339,17192.0
4038,4226 S Figueroa St Unit 202, 4226 S Figueroa St Unit 202, Los Angeles, CA,90037,,,,,,56, $1297, 888-664-0953, https://www.apartments.com/4226-s-figueroa-st-los-angeles-ca-unit-202/l5gz1kf/,62276.0,21928.1690141,428398470.0,6879.02996339,17192.0
4039,4222 S Figueroa St, 4222 S Figueroa St, Los Angeles, CA,90037,,,,,,56, $2497, 424-442-1858, https://www.apartments.com/4222-s-figueroa-st-los-angeles-ca/9wp6qs4/,62276.0,21928.1690141,428398470.0,6879.02996339,17192.0
4040,350 S Catalina St, 350 S Catalina St, Los Angeles, CA,90020,,,,,,67, $1675, 424-243-6911, https://www.apartments.com/350-s-catalina-st-los-angeles-ca/fr6hf0s/,38967.0,34484.0707965,526453188.0,13510.2314266,17900.0
4041,654 Amador St, 654 Amador St, Los Angeles, CA,90012,,,,,,63, $1850, 844-814-0238, https://www.apartments.com/654-amador-st-los-angeles-ca/v7t073f/,31103.0,9629.41176471,288859252.0,9287.1829727,11370.0
4042,4026 Bemis St, 4026 Bemis St, Los Angeles, CA,90039,,,,,,70, $2175, 310-734-5578, https://www.apartments.com/4026-bemis-st-los-angeles-ca/zf7zypy/,28514.0,7563.39522546,645960187.0,22654.1413692,12127.0
4043,981 Elden Ave Unit 12, 981 Elden Ave Unit 12, Los Angeles, CA,90006,,,,,,66, $1695, 213-908-2137, https://www.apartments.com/981-elden-ave-los-angeles-ca-unit-12/2x84ewc/,59185.0,30825.5208333,398768368.0,6737.65933936,20332.0
4044,708 W 43rd St Unit 708, 708 W 43rd St Unit 708, Los Angeles, CA,90037,,,,,,66, $1800, 424-204-8948, https://www.apartments.com/708-w-43rd-st-los-angeles-ca-unit-708/41tswtk/,62276.0,21928.1690141,428398470.0,6879.02996339,17192.0
4045,1646 Rodney Dr Unit 1, 1646 Rodney Dr Unit 1, Los Angeles, CA,90027,,,,,,69, $1950, 818-296-0894, https://www.apartments.com/1646-rodney-dr-los-angeles-ca-unit-1/rk0zyq0/,45151.0,5466.22276029,982450409.0,21759.2170495,23390.0
4046,1204 N Alvarado St Unit 4, 1204 N Alvarado St Unit 4, Los Angeles, CA,90026,,,,,,64, $1600, 747-221-4780, https://www.apartments.com/1204-n-alvarado-st-los-angeles-ca-unit-4/9x026f5/,67869.0,16044.6808511,954653353.0,14066.1178594,26686.0
4047,1109 S Lake St, 1109 S Lake St, Los Angeles, CA,90006,,,,,,66, $1299, 818-459-4569, https://www.apartments.com/1109-s-lake-st-los-angeles-ca/eq2kvnp/,59185.0,30825.5208333,398768368.0,6737.65933936,20332.0
4048,4124 Eagle Rock Blvd Unit 308, 4124 Eagle Rock Blvd Unit 308, Los Angeles, CA,90065,,,,,,69, $1695, 747-221-4829, https://www.apartments.com/4124-eagle-rock-blvd-los-angeles-ca-unit-308/tbp8n29/,45527.0,8622.53787879,749994392.0,16473.6176774,15288.0
4049,4124 Eagle Rock Blvd Unit 112, 4124 Eagle Rock Blvd Unit 112, Los Angeles, CA,90065,,,,,,69, $1695, 818-574-6278, https://www.apartments.com/4124-eagle-rock-blvd-los-angeles-ca-unit-112/m8y88lk/,45527.0,8622.53787879,749994392.0,16473.6176774,15288.0
4050,4124 Eagle Rock Blvd, 4124 Eagle Rock Blvd, Los Angeles, CA,90065,,,,,,69, $1695, 818-748-8443, https://www.apartments.com/4124-eagle-rock-blvd-los-angeles-ca/dyclhbk/,45527.0,8622.53787879,749994392.0,16473.6176774,15288.0
4051,4124 Eagle Rock Blvd,, Los Angeles, CA,90065,,,,,,69, $1595, 213-986-9490, https://www.apartments.com/4124-eagle-rock-blvd-los-angeles-ca/3ppepgf/,45527.0,8622.53787879,749994392.0,16473.6176774,15288.0
4052,734 Valencia St Unit 206, 734 Valencia St Unit 206, Los Angeles, CA,90017,,,,,,66, $1225, 424-318-1014, https://www.apartments.com/734-valencia-st-los-angeles-ca-unit-206/wcfgd1j/,23768.0,32558.9041096,229419093.0,9652.43575395,10610.0
4053,1820 N Normandie Ave Unit 15, 1820 N Normandie Ave Unit 15, Los Angeles, CA,90027,,,,,,70, $2150, 323-694-3905, https://www.apartments.com/1820-n-normandie-ave-los-angeles-ca-unit-15/0qy5h02/,45151.0,5466.22276029,982450409.0,21759.2170495,23390.0
4054,839 N Alexandria Ave Unit 839, 839 N Alexandria Ave Unit 839, Los Angeles, CA,90029,,,,,,67, $1800, 323-472-9188, https://www.apartments.com/839-n-alexandria-ave-los-angeles-ca-unit-839/7kynwzy/,38617.0,28394.8529412,401892441.0,10407.137815,14723.0
4055,460 S Spring St Unit 616, 460 S Spring St Unit 616, Los Angeles, CA,90013,,,,,,62, $2395, 510-907-7928, https://www.apartments.com/460-s-spring-st-los-angeles-ca-unit-616/6k6p2qr/,11772.0,17570.1492537,115494378.0,9810.9393476,7516.0
4056,432 E 31st St, 432 E 31st St, Los Angeles, CA,90011,,,,,,73, $600, 844-536-9617, https://www.apartments.com/432-e-31st-st-los-angeles-ca/7tcgbew/,103892.0,24217.2494172,678782526.0,6533.53988758,23547.0
4057,434 E 31st St, 434 E 31st St, Los Angeles, CA,90011,,,,,,73, $450, 844-564-6107, https://www.apartments.com/434-e-31st-st-los-angeles-ca/zmgze5y/,103892.0,24217.2494172,678782526.0,6533.53988758,23547.0
4058,3309 Descanso Dr, 3309 Descanso Dr, Los Angeles, CA,90026,,,,,,70, $3600, 323-536-1066, https://www.apartments.com/3309-descanso-dr-los-angeles-ca/tfkelhc/,67869.0,16044.6808511,954653353.0,14066.1178594,26686.0
4059,2470 Claremont Ave, 2470 Claremont Ave, Los Angeles, CA,90027,,,,,,73, $2325, 424-341-6148, https://www.apartments.com/2470-claremont-ave-los-angeles-ca/6p5j4fr/,45151.0,5466.22276029,982450409.0,21759.2170495,23390.0
4060,1100 Wilshire Blvd Unit 2010, 1100 Wilshire Blvd Unit 2010, Los Angeles, CA,90017,,,,,,64, $2950, 855-383-3804, https://www.apartments.com/1100-wilshire-blvd-los-angeles-ca-unit-2010/y8p550s/,23768.0,32558.9041096,229419093.0,9652.43575395,10610.0
4061,607 Rosemont Ave, 607 Rosemont Ave, Los Angeles, CA,90026,,,,,,64, $2095, 844-403-2051, https://www.apartments.com/607-rosemont-ave-los-angeles-ca/edfdhhq/,67869.0,16044.6808511,954653353.0,14066.1178594,26686.0
4062,3426 W 1st St Unit 105, 3426 W 1st St Unit 105, Los Angeles, CA,90004,,,,,,64, $2495, 323-375-2682, https://www.apartments.com/3426-w-1st-st-los-angeles-ca-unit-105/40xnlvj/,62180.0,20386.8852459,891085777.0,14330.7458508,24278.0
4063,1144 N Normandie Ave Unit 103, 1144 N Normandie Ave Unit 103, Los Angeles, CA,90029,,,,,,65, $1595, 818-962-5944, https://www.apartments.com/1144-n-normandie-ave-los-angeles-ca-unit-103/w629ktl/,38617.0,28394.8529412,401892441.0,10407.137815,14723.0
4064,1609 McCollum St, 1609 McCollum St, Los Angeles, CA,90026,,,,,,73, $1875, 323-606-8878, https://www.apartments.com/1609-mccollum-st-los-angeles-ca/5kmlrjp/,67869.0,16044.6808511,954653353.0,14066.1178594,26686.0
4065,825 E 4th St Unit 208, 825 E 4th St Unit 208, Los Angeles, CA,90013,,,,,,70, $2450, 866-433-7759, https://www.apartments.com/825-e-4th-st-los-angeles-ca-unit-208/28d72t8/,11772.0,17570.1492537,115494378.0,9810.9393476,7516.0
4066,837 N Alexandria Ave Unit 839, 837 N Alexandria Ave Unit 839, Los Angeles, CA,90029,,,,,,67, $1700, 323-306-4122, https://www.apartments.com/837-n-alexandria-ave-los-angeles-ca-unit-839/7pbt4qz/,38617.0,28394.8529412,401892441.0,10407.137815,14723.0
4067,3717 Los Feliz Blvd, 3717 Los Feliz Blvd, Los Angeles, CA,90027,,,,,,68, $1800, 213-568-0692, https://www.apartments.com/3717-los-feliz-blvd-los-angeles-ca/msknenk/,45151.0,5466.22276029,982450409.0,21759.2170495,23390.0
4068,378 Loma Dr, 378 Loma Dr, Los Angeles, CA,90017,,,,,,69, $2195, 213-805-8322, https://www.apartments.com/378-loma-dr-los-angeles-ca/5vwlv8m/,23768.0,32558.9041096,229419093.0,9652.43575395,10610.0
4069,950 Magnolia Ave Unit 25, 950 Magnolia Ave Unit 25, Los Angeles, CA,90006,,,,,,68, $1525, 844-790-9134, https://www.apartments.com/950-magnolia-ave-los-angeles-ca-unit-25/wfg1w2h/,59185.0,30825.5208333,398768368.0,6737.65933936,20332.0
4070,636 Robinson St Unit 5, 636 Robinson St Unit 5, Los Angeles, CA,90026,,,,,,67, $2150, 323-714-0026, https://www.apartments.com/636-robinson-st-los-angeles-ca-unit-5/chdx4zd/,67869.0,16044.6808511,954653353.0,14066.1178594,26686.0
